[2025-10-20T17:38:21.469166+00:00] scheduler starting; DB=/home/keith/PythonProjects/projects/Mixed_Nuts/MyScheduler/myscheduler.db
[2025-10-20T17:59:28.474407+00:00] tick; claimed=[]
[2025-10-20T17:59:48.474913+00:00] tick; claimed=[]
[2025-10-20T18:00:08.475622+00:00] tick; claimed=[]
[2025-10-20T18:00:28.476273+00:00] tick; claimed=[]
[2025-10-20T18:00:48.476881+00:00] tick; claimed=[]
[2025-10-20T18:01:08.477537+00:00] tick; claimed=[]
[2025-10-20T18:01:28.478208+00:00] tick; claimed=[]
[2025-10-20T18:01:48.478823+00:00] tick; claimed=[]
[2025-10-20T18:02:08.479165+00:00] tick; claimed=[]
[2025-10-20T18:02:28.479626+00:00] tick; claimed=[]
[2025-10-20T18:02:48.480308+00:00] tick; claimed=[]
[2025-10-20T18:03:08.480729+00:00] tick; claimed=[]
[2025-10-20T18:03:28.481142+00:00] tick; claimed=[]
[2025-10-20T18:03:48.481647+00:00] tick; claimed=[]
[2025-10-20T18:04:08.482326+00:00] tick; claimed=[]
[2025-10-20T18:04:28.482929+00:00] tick; claimed=[]
[2025-10-20T18:04:48.483537+00:00] tick; claimed=[]
[2025-10-20T18:05:08.484164+00:00] tick; claimed=[]
[2025-10-20T18:05:28.484723+00:00] tick; claimed=[]
[2025-10-20T18:05:48.485361+00:00] tick; claimed=[]
[2025-10-20T18:06:08.485918+00:00] tick; claimed=[]
[2025-10-20T18:06:28.486521+00:00] tick; claimed=[]
[2025-10-20T18:06:48.487102+00:00] tick; claimed=[]
[2025-10-20T18:07:08.487624+00:00] tick; claimed=[]
[2025-10-20T18:07:28.488276+00:00] tick; claimed=[]
[2025-10-20T18:07:48.488820+00:00] tick; claimed=[]
[2025-10-20T18:08:08.489128+00:00] tick; claimed=[]
[2025-10-20T18:08:28.489689+00:00] tick; claimed=[]
[2025-10-20T18:08:48.490329+00:00] tick; claimed=[]
[2025-10-20T18:09:08.490846+00:00] tick; claimed=[]
[2025-10-20T18:09:28.491431+00:00] tick; claimed=[]
[2025-10-20T18:09:48.491960+00:00] tick; claimed=[]
[2025-10-20T18:10:08.492591+00:00] tick; claimed=[]
[2025-10-20T18:10:28.493132+00:00] tick; claimed=[]
[2025-10-20T18:10:48.493650+00:00] tick; claimed=[]
[2025-10-20T18:11:08.494191+00:00] tick; claimed=[]
[2025-10-20T18:11:28.494697+00:00] tick; claimed=[]
[2025-10-20T18:11:48.495122+00:00] tick; claimed=[]
[2025-10-20T18:12:08.495538+00:00] tick; claimed=[]
[2025-10-20T18:12:28.496146+00:00] tick; claimed=[]
[2025-10-20T18:12:48.496754+00:00] tick; claimed=[]
[2025-10-20T18:13:08.497346+00:00] tick; claimed=[]
[2025-10-20T18:13:28.497937+00:00] tick; claimed=[]
[2025-10-20T18:13:48.498593+00:00] tick; claimed=[]
[2025-10-20T18:14:08.499264+00:00] tick; claimed=[]
[2025-10-20T18:14:28.499848+00:00] tick; claimed=[]
[2025-10-20T18:14:48.500453+00:00] tick; claimed=[]
[2025-10-20T18:15:08.500967+00:00] tick; claimed=[]
[2025-10-20T18:15:28.501506+00:00] tick; claimed=[]
[2025-10-20T18:15:48.502055+00:00] tick; claimed=[]
[2025-10-20T18:16:08.502596+00:00] tick; claimed=[]
[2025-10-20T18:16:28.503261+00:00] tick; claimed=[]
[2025-10-20T18:16:48.503661+00:00] tick; claimed=[]
[2025-10-20T18:17:08.504264+00:00] tick; claimed=[]
[2025-10-20T18:17:28.504643+00:00] tick; claimed=[]
[2025-10-20T18:17:48.505119+00:00] tick; claimed=[]
[2025-10-20T18:18:08.505686+00:00] tick; claimed=[]
[2025-10-20T18:18:28.506000+00:00] tick; claimed=[]
[2025-10-20T18:18:48.506486+00:00] tick; claimed=[]
[2025-10-20T18:19:08.507145+00:00] tick; claimed=[]
[2025-10-20T18:19:28.507779+00:00] tick; claimed=[]
[2025-10-20T18:19:48.508098+00:00] tick; claimed=[]
[2025-10-20T18:20:08.508616+00:00] tick; claimed=[]
[2025-10-20T18:20:28.509258+00:00] tick; claimed=[]
[2025-10-20T18:20:48.509829+00:00] tick; claimed=[]
[2025-10-20T18:21:08.510403+00:00] tick; claimed=[]
[2025-10-20T18:21:28.510997+00:00] tick; claimed=[]
[2025-10-20T18:21:48.511638+00:00] tick; claimed=[]
[2025-10-20T18:22:08.512214+00:00] tick; claimed=[]
[2025-10-20T18:22:28.512736+00:00] tick; claimed=[]
[2025-10-20T18:22:48.513286+00:00] tick; claimed=[]
[2025-10-20T18:23:08.513793+00:00] tick; claimed=[]
[2025-10-20T18:23:28.514393+00:00] tick; claimed=[]
[2025-10-20T18:23:48.514892+00:00] tick; claimed=[]
[2025-10-20T18:24:08.515509+00:00] tick; claimed=[]
[2025-10-20T18:24:28.516155+00:00] tick; claimed=[]
[2025-10-20T18:24:48.516549+00:00] tick; claimed=[]
[2025-10-20T18:25:08.517033+00:00] tick; claimed=[]
[2025-10-20T18:25:28.517630+00:00] tick; claimed=[]
[2025-10-20T18:25:48.518203+00:00] tick; claimed=[]
[2025-10-20T18:26:08.518558+00:00] tick; claimed=[]
[2025-10-20T18:26:28.519084+00:00] tick; claimed=[]
[2025-10-20T18:26:48.519671+00:00] tick; claimed=[]
[2025-10-20T18:27:08.520312+00:00] tick; claimed=[]
[2025-10-20T18:27:28.520905+00:00] tick; claimed=[]
[2025-10-20T18:27:48.521563+00:00] tick; claimed=[]
[2025-10-20T18:28:08.522228+00:00] tick; claimed=[]
[2025-10-20T18:28:28.522755+00:00] tick; claimed=[]
[2025-10-20T18:28:48.523333+00:00] tick; claimed=[]
[2025-10-20T18:29:08.523922+00:00] tick; claimed=[]
[2025-10-20T18:29:28.524493+00:00] tick; claimed=[]
[2025-10-20T18:29:48.525154+00:00] tick; claimed=[]
[2025-10-20T18:30:08.525753+00:00] tick; claimed=[]
[2025-10-20T18:30:28.527176+00:00] tick; claimed=[]
[2025-10-20T18:30:48.527431+00:00] tick; claimed=[]
[2025-10-20T18:31:08.527961+00:00] tick; claimed=[]
[2025-10-20T18:31:28.528624+00:00] tick; claimed=[]
[2025-10-20T18:31:48.529223+00:00] tick; claimed=[]
[2025-10-20T18:32:08.529822+00:00] tick; claimed=[]
[2025-10-20T18:32:28.530413+00:00] tick; claimed=[]
[2025-10-20T18:32:48.531061+00:00] tick; claimed=[]
[2025-10-20T18:33:08.531456+00:00] tick; claimed=[]
[2025-10-20T18:33:28.532059+00:00] tick; claimed=[]
[2025-10-20T18:33:48.532657+00:00] tick; claimed=[]
[2025-10-20T18:34:08.533303+00:00] tick; claimed=[]
[2025-10-20T18:34:28.533896+00:00] tick; claimed=[]
[2025-10-20T18:34:48.534317+00:00] tick; claimed=[]
[2025-10-20T18:35:08.534744+00:00] tick; claimed=[]
[2025-10-20T18:35:28.535330+00:00] tick; claimed=[]
[2025-10-20T18:35:48.535801+00:00] tick; claimed=[]
[2025-10-20T18:36:08.536362+00:00] tick; claimed=[]
[2025-10-20T18:36:28.536998+00:00] tick; claimed=[]
[2025-10-20T18:36:48.537571+00:00] tick; claimed=[]
[2025-10-20T18:37:08.538120+00:00] tick; claimed=[]
[2025-10-20T18:37:28.538617+00:00] tick; claimed=[]
[2025-10-20T18:37:48.539162+00:00] tick; claimed=[]
[2025-10-20T18:38:08.539691+00:00] tick; claimed=[]
[2025-10-20T18:38:28.540072+00:00] tick; claimed=[]
[2025-10-20T18:38:48.540633+00:00] tick; claimed=[]
[2025-10-20T18:39:08.541212+00:00] tick; claimed=[]
[2025-10-20T18:39:28.541763+00:00] tick; claimed=[]
[2025-10-20T18:39:48.542306+00:00] tick; claimed=[]
[2025-10-20T18:40:08.542889+00:00] tick; claimed=[]
[2025-10-20T18:40:28.543389+00:00] tick; claimed=[]
[2025-10-20T18:40:48.543985+00:00] tick; claimed=[]
[2025-10-20T18:41:08.544629+00:00] tick; claimed=[]
[2025-10-20T18:41:28.545274+00:00] tick; claimed=[]
[2025-10-20T18:41:48.545768+00:00] tick; claimed=[]
[2025-10-20T18:42:08.546356+00:00] tick; claimed=[]
[2025-10-20T18:42:28.546701+00:00] tick; claimed=[]
[2025-10-20T18:42:48.547074+00:00] tick; claimed=[]
[2025-10-20T18:43:08.547626+00:00] tick; claimed=[]
[2025-10-20T18:43:28.548287+00:00] tick; claimed=[]
[2025-10-20T18:43:48.548797+00:00] tick; claimed=[]
[2025-10-20T18:44:08.549418+00:00] tick; claimed=[]
[2025-10-20T18:44:28.550051+00:00] tick; claimed=[]
[2025-10-20T18:44:48.550646+00:00] tick; claimed=[]
[2025-10-20T18:45:08.551212+00:00] tick; claimed=[]
[2025-10-20T18:45:28.551786+00:00] tick; claimed=[]
[2025-10-20T18:45:48.552422+00:00] tick; claimed=[]
[2025-10-20T18:46:08.553099+00:00] tick; claimed=[]
[2025-10-20T18:46:28.553617+00:00] tick; claimed=[]
[2025-10-20T18:46:48.554284+00:00] tick; claimed=[]
[2025-10-20T18:47:08.554804+00:00] tick; claimed=[]
[2025-10-20T18:47:28.555216+00:00] tick; claimed=[]
[2025-10-20T18:47:48.555771+00:00] tick; claimed=[]
[2025-10-20T18:48:08.556371+00:00] tick; claimed=[]
[2025-10-20T18:48:28.556968+00:00] tick; claimed=[]
[2025-10-20T18:48:48.557618+00:00] tick; claimed=[]
[2025-10-20T18:49:08.558151+00:00] tick; claimed=[]
[2025-10-20T18:49:28.558744+00:00] tick; claimed=[]
[2025-10-20T18:49:48.559336+00:00] tick; claimed=[]
[2025-10-20T18:50:08.559940+00:00] tick; claimed=[]
[2025-10-20T18:50:28.560588+00:00] tick; claimed=[]
[2025-10-20T18:50:48.561221+00:00] tick; claimed=[]
[2025-10-20T18:51:08.561813+00:00] tick; claimed=[]
[2025-10-20T18:51:28.562412+00:00] tick; claimed=[]
[2025-10-20T18:51:48.563047+00:00] tick; claimed=[]
[2025-10-20T18:52:08.563652+00:00] tick; claimed=[]
[2025-10-20T18:52:28.564313+00:00] tick; claimed=[]
[2025-10-20T18:52:48.564905+00:00] tick; claimed=[]
[2025-10-20T18:53:08.565549+00:00] tick; claimed=[]
[2025-10-20T18:53:28.566207+00:00] tick; claimed=[]
[2025-10-20T18:53:48.566803+00:00] tick; claimed=[]
[2025-10-20T18:54:08.567402+00:00] tick; claimed=[]
[2025-10-20T18:54:28.567988+00:00] tick; claimed=[]
[2025-10-20T18:54:48.568678+00:00] tick; claimed=[]
[2025-10-20T18:55:08.569307+00:00] tick; claimed=[]
[2025-10-20T18:55:28.569907+00:00] tick; claimed=[]
[2025-10-20T18:55:48.570556+00:00] tick; claimed=[]
[2025-10-20T18:56:08.571205+00:00] tick; claimed=[]
[2025-10-20T18:56:28.571835+00:00] tick; claimed=[]
[2025-10-20T18:56:48.572446+00:00] tick; claimed=[]
[2025-10-20T18:57:08.573088+00:00] tick; claimed=[]
[2025-10-20T18:57:28.573700+00:00] tick; claimed=[]
[2025-10-20T18:57:48.574326+00:00] tick; claimed=[]
[2025-10-20T18:58:08.574693+00:00] tick; claimed=[]
[2025-10-20T18:58:28.575266+00:00] tick; claimed=[]
[2025-10-20T18:58:48.575865+00:00] tick; claimed=[]
[2025-10-20T18:59:08.576459+00:00] tick; claimed=[]
[2025-10-20T18:59:28.577098+00:00] tick; claimed=[]
[2025-10-20T18:59:48.577700+00:00] tick; claimed=[]
[2025-10-20T19:00:08.578331+00:00] tick; claimed=[]
[2025-10-20T19:00:28.578854+00:00] tick; claimed=[]
[2025-10-20T19:00:48.579419+00:00] tick; claimed=[]
[2025-10-20T19:01:08.580062+00:00] tick; claimed=[]
[2025-10-20T19:01:28.580675+00:00] tick; claimed=[]
[2025-10-20T19:01:48.581293+00:00] tick; claimed=[]
[2025-10-20T19:02:08.581905+00:00] tick; claimed=[]
[2025-10-20T19:02:28.582548+00:00] tick; claimed=[]
[2025-10-20T19:02:48.583200+00:00] tick; claimed=[]
[2025-10-20T19:03:08.583815+00:00] tick; claimed=[]
[2025-10-20T19:03:28.584416+00:00] tick; claimed=[]
[2025-10-20T19:03:48.585196+00:00] tick; claimed=[]
[2025-10-20T19:04:08.585813+00:00] tick; claimed=[]
[2025-10-20T19:04:28.586402+00:00] tick; claimed=[]
[2025-10-20T19:04:48.587052+00:00] tick; claimed=[]
[2025-10-20T19:05:08.587652+00:00] tick; claimed=[]
[2025-10-20T19:05:28.588211+00:00] tick; claimed=[]
[2025-10-20T19:05:48.588746+00:00] tick; claimed=[]
[2025-10-20T19:06:08.589358+00:00] tick; claimed=[]
[2025-10-20T19:06:28.589919+00:00] tick; claimed=[]
[2025-10-20T19:06:48.590583+00:00] tick; claimed=[]
[2025-10-20T19:07:08.591245+00:00] tick; claimed=[]
[2025-10-20T19:07:28.591859+00:00] tick; claimed=[]
[2025-10-20T19:07:48.592454+00:00] tick; claimed=[]
[2025-10-20T19:08:08.593138+00:00] tick; claimed=[]
[2025-10-20T19:08:28.593739+00:00] tick; claimed=[]
[2025-10-20T19:08:48.594346+00:00] tick; claimed=[]
[2025-10-20T19:09:08.594942+00:00] tick; claimed=[]
[2025-10-20T19:09:28.595500+00:00] tick; claimed=[]
[2025-10-20T19:09:48.596135+00:00] tick; claimed=[]
[2025-10-20T19:10:08.596745+00:00] tick; claimed=[]
[2025-10-20T19:10:28.597344+00:00] tick; claimed=[]
[2025-10-20T19:10:48.597779+00:00] tick; claimed=[]
[2025-10-20T19:11:08.598262+00:00] tick; claimed=[]
[2025-10-20T19:11:28.598806+00:00] tick; claimed=[]
[2025-10-20T19:11:48.599410+00:00] tick; claimed=[]
[2025-10-20T19:12:08.599747+00:00] tick; claimed=[]
[2025-10-20T19:12:28.599980+00:00] tick; claimed=[]
[2025-10-20T19:12:48.600239+00:00] tick; claimed=[]
[2025-10-20T19:13:08.600775+00:00] tick; claimed=[]
[2025-10-20T19:13:28.601385+00:00] tick; claimed=[]
[2025-10-20T19:13:48.601981+00:00] tick; claimed=[]
[2025-10-20T19:14:08.602641+00:00] tick; claimed=[]
[2025-10-20T19:14:28.603235+00:00] tick; claimed=[]
[2025-10-20T19:14:48.603830+00:00] tick; claimed=[]
[2025-10-20T19:15:08.604424+00:00] tick; claimed=[]
[2025-10-20T19:15:28.605088+00:00] tick; claimed=[]
[2025-10-20T19:15:48.605692+00:00] tick; claimed=[]
[2025-10-20T19:16:08.606345+00:00] tick; claimed=[]
[2025-10-20T19:16:28.606935+00:00] tick; claimed=[]
[2025-10-20T19:16:48.607587+00:00] tick; claimed=[]
[2025-10-20T19:17:08.608250+00:00] tick; claimed=[]
[2025-10-20T19:17:28.608845+00:00] tick; claimed=[]
[2025-10-20T19:17:48.609463+00:00] tick; claimed=[]
[2025-10-20T19:18:08.610145+00:00] tick; claimed=[]
[2025-10-20T19:18:28.610747+00:00] tick; claimed=[]
[2025-10-20T19:18:48.611354+00:00] tick; claimed=[]
[2025-10-20T19:19:08.611953+00:00] tick; claimed=[]
[2025-10-20T19:19:28.612324+00:00] tick; claimed=[]
[2025-10-20T19:19:48.612717+00:00] tick; claimed=[]
[2025-10-20T19:20:08.613291+00:00] tick; claimed=[]
[2025-10-20T19:20:28.613902+00:00] tick; claimed=[]
[2025-10-20T19:20:48.614414+00:00] tick; claimed=[]
[2025-10-20T19:21:08.614898+00:00] tick; claimed=[]
[2025-10-20T19:21:28.615433+00:00] tick; claimed=[]
[2025-10-20T19:21:48.616043+00:00] tick; claimed=[]
[2025-10-20T19:22:08.616691+00:00] tick; claimed=[]
[2025-10-20T19:22:28.617275+00:00] tick; claimed=[]
[2025-10-20T19:22:48.617905+00:00] tick; claimed=[]
[2025-10-20T19:23:08.618314+00:00] tick; claimed=[]
[2025-10-20T19:23:28.618602+00:00] tick; claimed=[]
[2025-10-20T19:23:48.619129+00:00] tick; claimed=[]
[2025-10-20T19:24:08.619695+00:00] tick; claimed=[]
[2025-10-20T19:24:28.620359+00:00] tick; claimed=[]
[2025-10-20T19:24:48.620861+00:00] tick; claimed=[]
[2025-10-20T19:25:08.621370+00:00] tick; claimed=[]
[2025-10-20T19:25:28.621966+00:00] tick; claimed=[]
[2025-10-20T19:25:48.622610+00:00] tick; claimed=[]
[2025-10-20T19:26:08.623216+00:00] tick; claimed=[]
[2025-10-20T19:26:28.623895+00:00] tick; claimed=[]
[2025-10-20T19:26:48.624543+00:00] tick; claimed=[]
[2025-10-20T19:27:08.624835+00:00] tick; claimed=[]
[2025-10-20T19:27:28.625311+00:00] tick; claimed=[]
[2025-10-20T19:27:48.625832+00:00] tick; claimed=[]
[2025-10-20T19:28:08.626358+00:00] tick; claimed=[]
[2025-10-20T19:28:28.626856+00:00] tick; claimed=[]
[2025-10-20T19:28:48.627459+00:00] tick; claimed=[]
[2025-10-20T19:29:08.628099+00:00] tick; claimed=[]
[2025-10-20T19:29:28.628691+00:00] tick; claimed=[]
[2025-10-20T19:29:48.629229+00:00] tick; claimed=[]
[2025-10-20T19:30:08.629805+00:00] tick; claimed=[]
[2025-10-20T19:30:28.630520+00:00] tick; claimed=[]
[2025-10-20T19:30:48.631029+00:00] tick; claimed=[]
[2025-10-20T19:31:08.631511+00:00] tick; claimed=[]
[2025-10-20T19:31:28.632099+00:00] tick; claimed=[]
[2025-10-20T19:31:48.632675+00:00] tick; claimed=[]
[2025-10-20T19:32:08.633318+00:00] tick; claimed=[]
[2025-10-20T19:32:28.633899+00:00] tick; claimed=[]
[2025-10-20T19:32:48.634525+00:00] tick; claimed=[]
[2025-10-20T19:33:08.635182+00:00] tick; claimed=[]
[2025-10-20T19:33:28.635781+00:00] tick; claimed=[]
[2025-10-20T19:33:48.636164+00:00] tick; claimed=[]
[2025-10-20T19:34:08.636688+00:00] tick; claimed=[]
[2025-10-20T19:34:28.637103+00:00] tick; claimed=[]
[2025-10-20T19:34:48.637659+00:00] tick; claimed=[]
[2025-10-20T19:35:08.638288+00:00] tick; claimed=[]
[2025-10-20T19:35:28.638878+00:00] tick; claimed=[]
[2025-10-20T19:35:48.639471+00:00] tick; claimed=[]
[2025-10-20T19:36:08.640091+00:00] tick; claimed=[]
[2025-10-20T19:36:28.640672+00:00] tick; claimed=[]
[2025-10-20T19:36:48.641310+00:00] tick; claimed=[]
[2025-10-20T19:37:08.641902+00:00] tick; claimed=[]
[2025-10-20T19:37:28.642345+00:00] tick; claimed=[]
[2025-10-20T19:37:48.642869+00:00] tick; claimed=[]
[2025-10-20T19:38:08.643466+00:00] tick; claimed=[]
[2025-10-20T19:38:28.643822+00:00] tick; claimed=[]
[2025-10-20T19:38:48.644276+00:00] tick; claimed=[]
[2025-10-20T19:39:08.644840+00:00] tick; claimed=[]
[2025-10-20T19:39:28.645431+00:00] tick; claimed=[]
[2025-10-20T19:39:48.646097+00:00] tick; claimed=[]
[2025-10-20T19:40:08.646609+00:00] tick; claimed=[]
[2025-10-20T19:40:28.647124+00:00] tick; claimed=[]
[2025-10-20T19:40:48.647699+00:00] tick; claimed=[]
[2025-10-20T19:41:08.648241+00:00] tick; claimed=[]
[2025-10-20T19:41:28.648821+00:00] tick; claimed=[]
[2025-10-20T19:41:48.649409+00:00] tick; claimed=[]
[2025-10-20T19:42:08.650068+00:00] tick; claimed=[]
[2025-10-20T19:42:28.650371+00:00] tick; claimed=[]
[2025-10-20T19:42:48.650890+00:00] tick; claimed=[]
[2025-10-20T19:43:08.651439+00:00] tick; claimed=[]
[2025-10-20T19:43:28.652090+00:00] tick; claimed=[]
[2025-10-20T19:43:48.652429+00:00] tick; claimed=[]
[2025-10-20T19:44:08.652737+00:00] tick; claimed=[]
[2025-10-20T19:44:28.653296+00:00] tick; claimed=[]
[2025-10-20T19:44:48.653879+00:00] tick; claimed=[]
[2025-10-20T19:45:08.654259+00:00] tick; claimed=[]
[2025-10-20T19:45:28.654772+00:00] tick; claimed=[]
[2025-10-20T19:45:48.655347+00:00] tick; claimed=[]
[2025-10-20T19:46:08.655957+00:00] tick; claimed=[]
[2025-10-20T19:46:28.656453+00:00] tick; claimed=[]
[2025-10-20T19:46:48.656928+00:00] tick; claimed=[]
[2025-10-20T19:47:08.657469+00:00] tick; claimed=[]
[2025-10-20T19:47:28.658138+00:00] tick; claimed=[]
[2025-10-20T19:47:48.658649+00:00] tick; claimed=[]
[2025-10-20T19:48:08.659297+00:00] tick; claimed=[]
[2025-10-20T19:48:28.659882+00:00] tick; claimed=[]
[2025-10-20T19:48:48.660400+00:00] tick; claimed=[]
[2025-10-20T19:49:08.661101+00:00] tick; claimed=[]
[2025-10-20T19:49:28.661704+00:00] tick; claimed=[]
[2025-10-20T19:49:48.662266+00:00] tick; claimed=[]
[2025-10-20T19:50:08.662800+00:00] tick; claimed=[]
[2025-10-20T19:50:28.663331+00:00] tick; claimed=[]
[2025-10-20T19:50:48.663850+00:00] tick; claimed=[]
[2025-10-20T19:51:08.664452+00:00] tick; claimed=[]
[2025-10-20T19:51:28.664975+00:00] tick; claimed=[]
[2025-10-20T19:51:48.665482+00:00] tick; claimed=[]
[2025-10-20T19:52:08.666128+00:00] tick; claimed=[]
[2025-10-20T19:52:28.666617+00:00] tick; claimed=[]
[2025-10-20T19:52:48.667144+00:00] tick; claimed=[]
[2025-10-20T19:53:08.667707+00:00] tick; claimed=[]
[2025-10-20T19:53:28.668097+00:00] tick; claimed=[]
[2025-10-20T19:53:48.668560+00:00] tick; claimed=[]
[2025-10-20T19:54:08.669207+00:00] tick; claimed=[]
[2025-10-20T19:54:28.669788+00:00] tick; claimed=[]
[2025-10-20T19:54:48.670344+00:00] tick; claimed=[]
[2025-10-20T19:55:08.670926+00:00] tick; claimed=[]
[2025-10-20T19:55:28.671343+00:00] tick; claimed=[]
[2025-10-20T19:55:48.671860+00:00] tick; claimed=[]
[2025-10-20T19:56:08.672470+00:00] tick; claimed=[]
[2025-10-20T19:56:28.673132+00:00] tick; claimed=[]
[2025-10-20T19:56:48.673705+00:00] tick; claimed=[]
[2025-10-20T19:57:08.674328+00:00] tick; claimed=[]
[2025-10-20T19:57:28.674920+00:00] tick; claimed=[]
[2025-10-20T19:57:48.675528+00:00] tick; claimed=[]
[2025-10-20T19:58:08.676262+00:00] tick; claimed=[]
[2025-10-20T19:58:28.676857+00:00] tick; claimed=[]
[2025-10-20T19:58:48.677426+00:00] tick; claimed=[]
[2025-10-20T19:59:08.678070+00:00] tick; claimed=[]
[2025-10-20T19:59:28.678680+00:00] tick; claimed=[]
[2025-10-20T19:59:48.679246+00:00] tick; claimed=[]
[2025-10-20T20:00:08.679838+00:00] tick; claimed=[]
[2025-10-20T20:00:28.680431+00:00] tick; claimed=[]
[2025-10-20T20:00:48.680969+00:00] tick; claimed=[]
[2025-10-20T20:01:08.681356+00:00] tick; claimed=[]
[2025-10-20T20:01:28.681880+00:00] tick; claimed=[]
[2025-10-20T20:01:48.682438+00:00] tick; claimed=[]
[2025-10-20T20:02:08.683094+00:00] tick; claimed=[]
[2025-10-20T20:02:28.683658+00:00] tick; claimed=[]
[2025-10-20T20:02:48.684251+00:00] tick; claimed=[]
[2025-10-20T20:03:08.684747+00:00] tick; claimed=[]
[2025-10-20T20:03:28.685321+00:00] tick; claimed=[]
[2025-10-20T20:03:48.685886+00:00] tick; claimed=[]
[2025-10-20T20:04:08.686472+00:00] tick; claimed=[]
[2025-10-20T20:04:28.687118+00:00] tick; claimed=[]
[2025-10-20T20:04:48.687660+00:00] tick; claimed=[]
[2025-10-20T20:05:08.688284+00:00] tick; claimed=[]
[2025-10-20T20:05:28.688883+00:00] tick; claimed=[]
[2025-10-20T20:05:48.689243+00:00] tick; claimed=[]
[2025-10-20T20:06:08.689793+00:00] tick; claimed=[]
[2025-10-20T20:06:28.690380+00:00] tick; claimed=[]
[2025-10-20T20:06:48.690934+00:00] tick; claimed=[]
